GAME,DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
52,3/2/19,W,36,28,10,23,43.5,5,15,33.3,3,3,100,1,3,4,2,4,0,2,4,2
53,3/5/19,L,31,23,8,16,50,4,10,40,3,3,100,0,3,3,4,1,0,4,3,-21
54,3/8/19,W,34,17,6,16,37.5,4,10,40,1,2,50,0,7,7,4,0,0,7,4,20
55,3/10/19,L,35,18,6,20,30,4,15,26.7,2,2,100,0,7,7,8,3,1,3,4,7
56,3/13/19,W,35,24,8,20,40,3,9,33.3,5,5,100,2,2,4,5,2,0,1,2,-3
57,3/16/19,W,33,33,10,23,43.5,5,12,41.7,8,10,80,1,6,7,3,2,0,4,1,19
58,3/18/19,L,37,25,9,25,36,6,18,33.3,1,1,100,1,6,7,8,3,1,2,3,3
59,3/19/19,W,33,36,12,21,57.1,8,14,57.1,4,5,80,1,2,3,5,2,0,2,1,15
60,3/21/19,W,29,15,5,15,33.3,5,12,41.7,0,0,0,1,3,4,7,1,0,3,3,24
61,3/24/19,W,35,26,9,19,47.4,5,10,50,3,3,100,2,7,9,3,1,0,4,2,14
62,3/27/19,W,33,28,7,20,35,6,12,50,8,9,88.9,0,10,10,7,1,1,1,3,17
63,3/29/19,L,42,37,13,25,52,11,19,57.9,0,0,0,0,3,3,5,2,0,2,2,6
64,3/31/19,W,27,25,8,14,57.1,5,8,62.5,4,4,100,0,5,5,6,2,1,1,0,37
65,4/2/19,W,30,17,6,11,54.5,5,10,50,0,0,0,0,4,4,5,3,0,4,4,25
66,4/4/19,W,29,7,3,14,21.4,1,9,11.1,0,0,0,1,9,10,7,1,0,2,1,32
67,4/5/19,W,36,40,12,21,57.1,9,12,75,7,7,100,1,5,6,7,0,1,4,1,5
68,4/7/19,W,30,27,11,20,55,3,10,30,2,2,100,0,5,5,4,1,1,0,3,35
69,4/9/19,W,9,5,2,4,50,1,2,50,0,0,0,0,1,1,1,0,0,2,0,1
